127.0.0.1 - - [03/May/2024:12:58:29 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [03/May/2024:12:58:31 +0530] "GET /project_3/ HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [03/May/2024:12:58:31 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [03/May/2024:12:58:33 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [03/May/2024:12:58:33 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:12:58:37 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:03 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:08 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:09 +0530] "GET /project_3/img/1234.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:26 +0530] "GET /project_3/ctl/ProductCtl HTTP/1.1" 200 15938
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:26 +0530] "GET /project_3/img/download%20(3).jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:42 +0530] "POST /project_3/ctl/ProductCtl HTTP/1.1" 200 15952
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:42 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:54 +0530] "POST /project_3/ctl/ProductCtl HTTP/1.1" 200 15952
0:0:0:0:0:0:0:1 - - [03/May/2024:12:59:54 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:02 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:02 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:05 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:05 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:13 +0530] "GET /project_3/ctl/ProductCtl HTTP/1.1" 200 15938
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:13 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:28 +0530] "GET /project_3/ctl/ProductListCtl HTTP/1.1" 200 16536
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:36 +0530] "GET /project_3/ctl/ProductCtl HTTP/1.1" 200 15938
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:36 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [03/May/2024:13:00:51 +0530] "POST /project_3/ctl/ProductCtl HTTP/1.1" 200 15952
