127.0.0.1 - - [07/May/2024:14:08:04 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:07 +0530] "GET /project_3/ HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:07 +0530] "GET /project_3/img/naturee.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:07 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:15 +0530] "GET /project_3/img/_Summer.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:20 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:57 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:57 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10739
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:57 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:08:57 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [07/May/2024:14:09:19 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 19194
0:0:0:0:0:0:0:1 - - [07/May/2024:14:09:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:09:43 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 16294
0:0:0:0:0:0:0:1 - - [07/May/2024:14:09:55 +0530] "GET /project_3/ctl/RoleCtl HTTP/1.1" 200 13323
0:0:0:0:0:0:0:1 - - [07/May/2024:14:10:08 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 14784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:10:43 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 13732
0:0:0:0:0:0:0:1 - - [07/May/2024:14:10:43 +0530] "GET /project_3/img/books_10.jpg HTTP/1.1" 200 4328483
0:0:0:0:0:0:0:1 - - [07/May/2024:14:10:53 +0530] "GET /project_3/ctl/StudentCtl HTTP/1.1" 200 18283
0:0:0:0:0:0:0:1 - - [07/May/2024:14:10:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:10:53 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:08 +0530] "GET /project_3/ctl/FacultyCtl HTTP/1.1" 200 21443
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:08 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:27 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 18441
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:27 +0530] "GET /project_3/img/time_table.jpg HTTP/1.1" 200 1663708
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:51 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 19194
0:0:0:0:0:0:0:1 - - [07/May/2024:14:11:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:12:04 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 18441
0:0:0:0:0:0:0:1 - - [07/May/2024:14:12:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:12:04 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:12:55 +0530] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 14053
0:0:0:0:0:0:0:1 - - [07/May/2024:14:12:55 +0530] "GET /project_3/img/books_11.jpg HTTP/1.1" 200 4710404
0:0:0:0:0:0:0:1 - - [07/May/2024:14:13:30 +0530] "GET /project_3/ctl/UserCtl HTTP/1.1" 200 19194
0:0:0:0:0:0:0:1 - - [07/May/2024:14:13:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:14:11 +0530] "GET /project_3/ctl/MarksheetCtl HTTP/1.1" 200 16294
0:0:0:0:0:0:0:1 - - [07/May/2024:14:14:27 +0530] "GET /project_3/ctl/RoleCtl HTTP/1.1" 200 13323
0:0:0:0:0:0:0:1 - - [07/May/2024:14:14:38 +0530] "GET /project_3/ctl/CollegeCtl HTTP/1.1" 200 14784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:15:28 +0530] "GET /project_3/ctl/CourseCtl HTTP/1.1" 200 13732
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:11 +0530] "GET /project_3/ctl/FacultyCtl HTTP/1.1" 200 21443
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:35 +0530] "GET /project_3/ctl/TimeTableCtl HTTP/1.1" 200 18441
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:35 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [07/May/2024:14:17:49 +0530] "GET /project_3/ctl/SubjectCtl HTTP/1.1" 200 14053
0:0:0:0:0:0:0:1 - - [07/May/2024:14:39:40 +0530] "GET /project_3/ctl/MarksheetMeritListCtl HTTP/1.1" 200 16480
0:0:0:0:0:0:0:1 - - [07/May/2024:14:39:40 +0530] "GET /project_3/img/avatar-g92feff2a2_1920.webp HTTP/1.1" 404 979
0:0:0:0:0:0:0:1 - - [07/May/2024:14:39:49 +0530] "GET /project_3/ctl/JasperCtl HTTP/1.1" 200 2041
