127.0.0.1 - - [01/May/2024:13:17:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:35 +0530] "GET /project_3/ HTTP/1.1" 200 713
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:35 +0530] "GET /project_3/img/naturee.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:35 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3862
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:40 +0530] "GET /project_3/img/_Summer.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:46 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7237
0:0:0:0:0:0:0:1 - - [01/May/2024:13:17:46 +0530] "GET /project_3/img/login_img.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:13:18:58 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/May/2024:13:18:58 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 10090
0:0:0:0:0:0:0:1 - - [01/May/2024:13:18:58 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:21:38 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 11355
0:0:0:0:0:0:0:1 - - [01/May/2024:13:21:38 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:21:38 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:28 +0530] "GET /project_3/ctl/BankCtl HTTP/1.1" 200 16581
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:28 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:28 +0530] "GET /project_3/img/download%20(3).jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:32 +0530] "GET /project_3/ctl/BankListCtl HTTP/1.1" 200 17127
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:32 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:32 +0530] "GET /project_3/img/1234.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:43 +0530] "GET /project_3/ctl/EmployeeCtl HTTP/1.1" 200 17097
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:43 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:47 +0530] "GET /project_3/ctl/EmployeeListCtl HTTP/1.1" 200 17433
0:0:0:0:0:0:0:1 - - [01/May/2024:13:22:47 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [01/May/2024:13:23:37 +0530] "GET /project_3/ctl/FacultyListCtl HTTP/1.1" 200 18020
0:0:0:0:0:0:0:1 - - [01/May/2024:13:23:37 +0530] "GET /project_3/img/faculty_img.jpg HTTP/1.1" 304 -
